dc:modified	dc:created	dc:title	standard concept	xml:lang	reference	standard_code
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Seasonal/Intermittent Freshwater Lakes	5.6	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools	5.7	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.7	5.7	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Permanent Freshwater Marshes/Pools	5.7	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Karst and Other Subterranean Hydrological Systems [inland]	5.8	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.8	5.8	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Seasonal/Intermittent Freshwater Marshes/Pools	5.8	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Freshwater Springs and Oases	5.9	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.9	5.9	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Rocky Areas	6	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	6	6	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Caves and Subterranean Habitats (non-aquatic)	7	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	7	7	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Caves	7.1	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	7.1	7.1	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Other Subterranean Habitats	7.2	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	7.2	7.2	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Desert	8	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	8	8	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Hot	8.1	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	8.1	8.1	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Temperate	8.2	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	8.2	8.2	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Cold	8.3	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	8.3	8.3	en	en	title
2009-08-03T15:52:50+01:00	2009-08-03T15:52:50+01:00	Estuaries	9	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9	9	en	en	title
2009-08-03T15:52:50+01:00	2009-08-03T15:52:49+01:00	Marine Neritic (Submergent Nearshore Continental Shelf or Oceanic Island)	9	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Pelagic	9.1	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9.1	9.1	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Subtidal Rock and Rocky Reefs	9.2	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9.2	9.2	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Subtidal Loose Rock/Pebble/Gravel	9.3	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9.3	9.3	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Subtidal Sandy	9.4	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9.4	9.4	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Subtidal Sandy-Mud	9.5	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9.5	9.5	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Subtidal Muddy	9.6	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9.6	9.6	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Macroalgal/Kelp	9.7	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	9.7	9.7	en	en	title
2009-08-03T15:52:49+01:00	2009-08-03T15:52:49+01:00	Coral Reef	9.8	en	en	title
